"Stock_name","WA","lh_old","lh","SMSY","SMSY_5","SMSY_95","SREP","SREP_5","SREP_95","logWA","logWAshifted_t","SREP_Stocknum","SREP_mean","SREP_median","SREP_Mode","SREP_LQ_5","SREP_UQ_95","SMSY_Stocknum","SMSY_mean","SMSY_median","SMSY_Mode","SMSY_LQ_5","SMSY_UQ_95","SGEN_Stocknum","SGEN_mean","SGEN_median","SGEN_Mode","SGEN_LQ_5","SGEN_UQ_95"
"Klinaklini",5161,1,0,8000,5900,10000,20600,15800,25600,8.54888563814873,1.21156507893188,13,17600.9268620073,17446.0456868842,17228.7699230806,13847.8737903409,21946.5478315568,13,6864.39604003761,6800.56774858458,6744.63462847733,5374.84248310169,8592.52697769855,13,1624.98553723807,1596.14650450436,1545.51896485316,1149.63842103047,2216.71798984183
"Nanaimo",586,1,1,3300,2600,4100,8700,7700,11800,6.37331978957701,-0.964000769639837,14,8610.79990864823,8442.19052807517,8104.61034456586,6271.11749207933,11535.3262465015,14,3213.1285011863,3145.3525838225,3067.37539042884,2329.98363901417,4337.29303000768,14,590.173584264904,572.895312555457,556.425516487168,390.183939584768,854.063651113148
"Wannock",3173,1,1,15300,12100,19000,42700,34000,52100,8.06243279158319,0.725112232366346,15,46570.0970465111,45441.2340412385,44190.4843257804,33063.5038068717,63724.5945213492,15,17383.9845382125,16937.7001339616,16435.4753099792,12219.5901033798,23915.806355785,15,3200.09646512367,3076.09014427634,2917.69898098771,2021.41583657346,4769.05821130192
"Kaouk",115,1,1,700,500,1200,2300,1500,3500,4.74493212836325,-2.5923884308536,16,1802.51906524748,1669.97060718529,1390.03640849153,878.089144471432,3208.84978919334,16,672.420987844897,622.942346412076,519.193206005342,326.707604810056,1195.52873387556,16,123.292970150531,112.651421392369,89.6571696301174,57.498563529383,225.875543391415
"Artlish",125,1,1,800,500,1200,2500,1600,3700,4.8283137373023,-2.50900682191455,17,1949.84840981914,1814.99767706448,1474.4052684196,971.775490624892,3424.08236040658,17,727.390843770442,677.075083659998,565.444911654301,362.315485706433,1273.26103163896,17,133.382631561906,122.404577940204,110.421697752287,63.7843353207204,240.613178311971
"Burman",242,1,1,1500,1000,2000,4500,3200,6100,5.48893772615669,-1.84838283306016,18,3654.60846507113,3497.0551530684,2965.39978447487,2187.53312785328,5692.91654035314,18,1363.49925874182,1303.11162482145,1168.26007918106,817.603002881345,2129.0166905246,18,250.193055511599,236.322898120906,202.103646192841,140.291889493455,405.760469073726
"Tahsis",77,1,1,500,300,900,1600,1000,2600,4.34380542185368,-2.99351513736316,19,1238.01095282757,1118.90348690007,915.8253211882,534.73024389141,2356.30180380914,19,461.806594124577,416.92216569963,322.651994932286,199.614170847784,883.806975946637,19,84.6444109644781,75.6327466843867,58.6243828254283,35.1444467572503,164.844309267125
"Tahsish",277,1,1,1700,1200,2300,5000,3700,6700,5.62401750618734,-1.71330305302951,20,4160.79287772243,4001.87362038392,3672.5634890772,2574.69036588655,6338.71957862115,20,1552.3883432544,1490.04069161802,1295.64176549366,960.328801966253,2362.44766213778,20,284.894015708614,270.37563875287,253.611330230701,164.764800016275,455.886110924033
"Marble",396,1,1,2300,1700,3000,6900,5300,8800,5.98141421125448,-1.35590634796237,21,5876.56968432415,5715.85209280035,5876.37103502008,3960.00868256573,8383.31187150305,21,2192.68468430183,2129.34033872434,2166.25097924076,1477.44125588656,3136.05831450509,21,402.559890745554,386.853544757064,350.833411102238,249.205053434171,611.844126448588
"L. Shuswap",2856,1,1,13900,11100,17100,38900,31200,47000,7.95717732345947,0.619856764242626,22,41837.95360279,40914.8105618775,40189.9076655311,30277.9470817733,56303.1309656681,22,15617.155671619,15259.3854304002,14949.2339988631,11186.9923850757,21139.0730274562,22,2874.42144277809,2772.67543591225,2616.92649195243,1844.6050890245,4230.07534472541
"M. Shuswap",616,1,1,3400,2700,4200,10100,8100,12300,6.42324696353352,-0.914073595683329,23,9042.59817362099,8868.01591331731,8343.20186516457,6644.72936966626,12043.8861616084,23,3374.28733714597,3307.80189088714,3198.48489092706,2469.25655566872,4523.32564772225,23,619.811430100247,602.083118351164,581.119746825122,412.17188738048,892.074764592241
"S. Thompson",13494,1,1,57600,37300,87000,152000,101000,223000,9.51000042118737,2.17267986197052,24,208868.072914821,192174.631300326,166004.619952841,102727.852056427,370860.987103619,24,77996.1108611778,71644.4237290592,62725.4246110974,38208.9330770622,138940.484293417,24,14389.9135505055,12985.5048837258,10951.8550465534,6526.51118302172,26977.4172627911
"Maria",33,1,1,200,100,500,800,400,1400,3.49650756146648,-3.84081299775037,25,566.900206662778,480.946451971023,381.239831202072,187.286714132427,1239.30588080133,25,211.443430035584,179.352773114584,141.75993777621,69.8867216072593,463.739101578084,25,38.72872587302,32.556389653325,23.1965840633718,12.4860428684432,85.8875077052538
