"Stock_name","WA","lh_old","lh","SMSY","SMSY_5","SMSY_95","SREP","SREP_5","SREP_95","logWA","logWAshifted_t","SREP_Stocknum","SREP_mean","SREP_median","SREP_Mode","SREP_LQ_5","SREP_UQ_95","SMSY_Stocknum","SMSY_mean","SMSY_median","SMSY_Mode","SMSY_LQ_5","SMSY_UQ_95","SGEN_Stocknum","SGEN_mean","SGEN_median","SGEN_Mode","SGEN_LQ_5","SGEN_UQ_95"
"Nass",16615,1,0,17900,12300,24400,46400,33400,61200,9.71806118078869,2.38074062157185,1,39174.3149234883,38577.2793007243,37475.9853200474,28561.8839584351,51784.6757294882,1,15277.2048886684,15049.4416656398,14935.8994991067,11105.9859809645,20250.812471537,1,3615.29660919434,3536.06029055045,3440.6543291717,2423.8217700539,5122.62162532354
"Kincolith",222,1,0,900,600,1200,2300,1700,3000,5.40267738187228,-1.93464317734457,2,2094.13495019111,2063.49418091574,2054.65864788456,1527.93788364217,2763.18988388915,2,816.823874891214,805.683975498732,751.889661078413,592.496173801645,1080.33962297691,2,193.51940367046,188.306617269692,178.03757832626,128.973972082414,275.130204997379
"Kwinamass",203,1,0,800,600,1100,2200,1600,2900,5.31320597904179,-2.02411458017506,3,1972.13486493469,1942.53078002054,1917.94311737404,1427.56127395499,2617.8566496495,3,769.23987549219,757.806602207607,702.889476457222,554.016461289146,1022.2092662026,3,182.249636661421,177.311782519477,167.388269327471,120.749442279568,260.055288033217
"Ishkeenickh",581,1,0,1800,1300,2200,4500,3500,5600,6.36475075685191,-0.972569802364938,4,4000.3021771127,3959.86164377501,3794.81162855251,3101.81830385338,5020.66994667582,4,1560.27286380767,1544.9728495933,1529.21141289138,1202.78524083902,1965.69697860455,4,369.571061603894,361.464718668535,323.384955622189,258.785016718846,507.776082473333
"Kitsault",365,1,0,1300,900,1600,3300,2500,4200,5.89989735358249,-1.43742320563436,5,2924.81488746653,2890.48449992213,2823.63830262249,2210.13959968252,3755.78538099995,5,1140.81188943891,1128.08837824419,1130.70392874936,858.455023708397,1466.93682039755,5,270.246495100121,263.528614440281,242.808515783733,185.415533265267,376.931725760318
"Nicola",7211,1,0,10000,7300,12900,26000,19700,32700,8.88336291691676,1.54604235769991,6,22116.8124801532,21877.5669332929,21324.1704776342,17094.0207731961,27950.0782414861,6,8625.4653564913,8541.24252729815,8344.37037478002,6630.20537161374,10939.6275873644,6,2041.68376647744,2003.98823278172,1955.80998797503,1424.96736900393,2809.4213234698
"Spius",777,1,0,2000,1500,2600,5300,4100,6500,6.65544035036765,-0.681880208849202,7,4867.48496399451,4820.22132873151,4769.63399118275,3827.6646444524,6051.64149692622,7,1898.48549725965,1879.61911876658,1818.97934906569,1485.86571352723,2365.27317309175,7,449.648768166677,440.459140234221,402.979813977397,318.964026967826,614.006567519643
"Coldwater",917,1,0,1100,800,1500,2900,2200,3700,6.82110747225646,-0.516213086960384,8,5444.10029737361,5390.00681937557,5228.58518544226,4303.53154783618,6740.82631155396,8,2123.3707454143,2103.17059712034,2062.31727225478,1673.16206829422,2638.44981973754,8,502.890968683536,492.751584013775,457.412572736525,357.599195615353,684.262390637136
"Deadman",890,1,0,2400,1800,2900,6100,4800,7500,6.79122146272619,-0.546099096490663,9,5335.21304499183,5283.34528406411,5135.40675776214,4215.27482232752,6609.68792371376,9,2080.90385010787,2060.82371183573,1921.26968324737,1637.79407777818,2587.96434015479,9,492.836998843303,482.858996372115,448.796819583197,350.091773780252,671.05921326298
"Louis",519,1,0,1600,1200,2100,4200,3200,5200,6.25190388316589,-1.08541667605096,10,3707.22024482616,3667.76198207011,3583.55118755738,2857.29132713506,4673.82604635929,10,1445.96602910002,1431.00861678037,1441.34668962632,1107.71043478227,1831.08893346032,10,342.5054259476,334.664532299576,320.738445733209,238.823635358509,471.616262010392
"Bessette",388,1,0,1300,1000,1700,3400,2600,4300,5.96100533962327,-1.37631521959358,11,3047.59092059133,3011.37196745149,2951.98153945964,2313.78245134554,3900.74015681409,11,1188.69737714432,1175.30539486253,1174.15600071734,897.524252679946,1523.38759219511,11,281.585989616927,274.764575338219,253.731709185443,194.241882429016,391.793137996557
"Bonaparte",3499,1,0,6100,4600,7600,15800,12300,19300,8.16023249236769,0.82291193315084,12,13505.1740827722,13396.1149210431,12909.1838543889,10758.4225366859,16654.0614597798,12,5267.13815030093,5225.58857204475,5095.33309822603,4177.87104584494,6524.32632201838,12,1247.00692477246,1224.94533841424,1215.95039691149,889.717244490664,1692.65943437167
