"","Value","lwr","upr","Stock","RP"
"1",210,110,310,"Artlish","SGEN"
"2",370,94,910,"Bedwell/Ursus","SGEN"
"3",200,56,320,"Burman","SGEN"
"4",120,52,580,"Cayeghle","SGEN"
"5",45,9.2,92,"Conuma","SGEN"
"6",78,28,180,"Cypre","SGEN"
"7",2100,940,5700,"Gold","SGEN"
"8",280,150,650,"Kaouk","SGEN"
"9",340,170,890,"Leiner","SGEN"
"10",270,140,930,"Marble","SGEN"
"11",540,190,1800,"Megin","SGEN"
"12",460,88,900,"Moyeha","SGEN"
"13",150,22,240,"Nahmint","SGEN"
"14",1300,440,3400,"Nitinat","SGEN"
"15",780,250,1900,"San Juan","SGEN"
"16",350,88,540,"Sarita","SGEN"
"17",3300,2100,6200,"Somass","SGEN"
"18",160,78,670,"Tahsis","SGEN"
"19",610,220,1100,"Tahsish","SGEN"
"20",26,8.4,57,"Tranquil","SGEN"
"21",650,160,1400,"Zeballos","SGEN"
"22",160,36,240,"Barkley","SGEN"
"23",1300,620,3300,"Clayoquot","SGEN"
"24",1300,520,2600,"Kyuquot","SGEN"
"25",460,93,730,"Nootka/Esperanza","SGEN"
"26",560,210,2000,"Quatsino","SGEN"
"27",2300,790,5900,"WCVI Nootka & Kyuquot","SGEN"
"28",760,130,1200,"WCVI North","SGEN"
"29",1400,360,3100,"WCVI South","SGEN"
"30",900,760,1200,"Artlish","SREP"
"31",1900,760,5300,"Bedwell/Ursus","SREP"
"32",1100,760,2600,"Burman","SREP"
"33",930,490,1500,"Cayeghle","SREP"
"34",310,130,500,"Conuma","SREP"
"35",550,260,900,"Cypre","SREP"
"36",15000,9900,21000,"Gold","SREP"
"37",1400,1300,2600,"Kaouk","SREP"
"38",1700,1200,2200,"Leiner","SREP"
"39",1900,1400,3500,"Marble","SREP"
"40",3800,1700,4900,"Megin","SREP"
"41",1600,970,2500,"Moyeha","SREP"
"42",530,370,1700,"Nahmint","SREP"
"43",5100,3700,8100,"Nitinat","SREP"
"44",6200,2700,8900,"San Juan","SREP"
"45",1400,650,2000,"Sarita","SREP"
"46",16000,13000,21000,"Somass","SREP"
"47",940,510,1700,"Tahsis","SREP"
"48",3100,1700,4500,"Tahsish","SREP"
"49",150,98,360,"Tranquil","SREP"
"50",3100,2600,5700,"Zeballos","SREP"
"51",740,420,1000,"Barkley","SREP"
"52",6700,4400,13000,"Clayoquot","SREP"
"53",4900,4000,7200,"Kyuquot","SREP"
"54",1200,690,2200,"Nootka/Esperanza","SREP"
"55",3300,1900,6700,"Quatsino","SREP"
"56",7800,4500,12000,"WCVI Nootka & Kyuquot","SREP"
"57",3100,2000,4900,"WCVI North","SREP"
"58",7900,4200,11000,"WCVI South","SREP"
"59",390,330,520,"Artlish","SMSY"
"60",850,330,2200,"Bedwell/Ursus","SMSY"
"61",460,340,1000,"Burman","SMSY"
"62",350,220,670,"Cayeghle","SMSY"
"63",130,52,210,"Conuma","SMSY"
"64",230,110,390,"Cypre","SMSY"
"65",6100,4000,8600,"Gold","SMSY"
"66",600,550,1100,"Kaouk","SMSY"
"67",730,500,1000,"Leiner","SMSY"
"68",800,580,1500,"Marble","SMSY"
"69",1600,690,2100,"Megin","SMSY"
"70",730,410,1200,"Moyeha","SMSY"
"71",250,140,670,"Nahmint","SMSY"
"72",2200,1600,3500,"Nitinat","SMSY"
"73",2600,1100,3800,"San Juan","SMSY"
"74",570,290,860,"Sarita","SMSY"
"75",7000,5600,9100,"Somass","SMSY"
"76",430,230,810,"Tahsis","SMSY"
"77",1300,690,2000,"Tahsish","SMSY"
"78",66,38,150,"Tranquil","SMSY"
"79",1400,1000,2500,"Zeballos","SMSY"
"80",320,190,450,"Barkley","SMSY"
"81",2700,2000,5700,"Clayoquot","SMSY"
"82",2200,1700,3100,"Kyuquot","SMSY"
"83",550,290,1000,"Nootka/Esperanza","SMSY"
"84",1400,750,2700,"Quatsino","SMSY"
"85",3500,2000,6100,"WCVI Nootka & Kyuquot","SMSY"
"86",1400,790,2100,"WCVI North","SMSY"
"87",3600,1600,4500,"WCVI South","SMSY"
