"","Estimate","Stock","LL","UL","Param"
"target_lnSMSY_ocean",383,"Artlish",165,774,"SMSY"
"target_lnSMSY_ocean.1",599,"Bedwell/Ursus",270,1155,"SMSY"
"target_lnSMSY_ocean.2",421,"Burman",183,842,"SMSY"
"target_lnSMSY_ocean.3",298,"Cayeghle",125,619,"SMSY"
"target_lnSMSY_ocean.4",119,"Conuma",45,276,"SMSY"
"target_lnSMSY_ocean.5",236,"Cypre",96,502,"SMSY"
"target_lnSMSY_ocean.6",5142,"Gold",2656,8658,"SMSY"
"target_lnSMSY_ocean.7",606,"Kaouk",273,1167,"SMSY"
"target_lnSMSY_ocean.8",658,"Leiner",300,1258,"SMSY"
"target_lnSMSY_ocean.9",1008,"Marble",477,1856,"SMSY"
"target_lnSMSY_ocean.10",1476,"Megin",719,2637,"SMSY"
"target_lnSMSY_ocean.11",697,"Moyeha",319,1325,"SMSY"
"target_lnSMSY_ocean.12",252,"Nahmint",104,533,"SMSY"
"target_lnSMSY_ocean.13",2144,"Nitinat",1069,3740,"SMSY"
"target_lnSMSY_ocean.14",1985,"San Juan",985,3477,"SMSY"
"target_lnSMSY_ocean.15",508,"Sarita",225,995,"SMSY"
"target_lnSMSY_ocean.16",6343,"Somass",3288,10644,"SMSY"
"target_lnSMSY_ocean.17",464,"Tahsis",204,918,"SMSY"
"target_lnSMSY_ocean.18",1035,"Tahsish",490,1901,"SMSY"
"target_lnSMSY_ocean.19",74,"Tranquil",26,182,"SMSY"
"target_lnSMSY_ocean.20",1167,"Zeballos",558,2122,"SMSY"
"target_lnSREP_ocean",1100,"Artlish",465,2256,"SREP"
"target_lnSREP_ocean.1",1715,"Bedwell/Ursus",760,3359,"SREP"
"target_lnSREP_ocean.2",1209,"Burman",517,2455,"SREP"
"target_lnSREP_ocean.3",856,"Cayeghle",352,1807,"SREP"
"target_lnSREP_ocean.4",343,"Conuma",126,810,"SREP"
"target_lnSREP_ocean.5",677,"Cypre",271,1469,"SREP"
"target_lnSREP_ocean.6",14597,"Gold",7436,24884,"SREP"
"target_lnSREP_ocean.7",1734,"Kaouk",770,3393,"SREP"
"target_lnSREP_ocean.8",1884,"Leiner",843,3657,"SREP"
"target_lnSREP_ocean.9",2882,"Marble",1341,5380,"SREP"
"target_lnSREP_ocean.10",4212,"Megin",2020,7629,"SREP"
"target_lnSREP_ocean.11",1995,"Moyeha",897,3850,"SREP"
"target_lnSREP_ocean.12",724,"Nahmint",292,1558,"SREP"
"target_lnSREP_ocean.13",6109,"Nitinat",3002,10796,"SREP"
"target_lnSREP_ocean.14",5656,"San Juan",2767,10041,"SREP"
"target_lnSREP_ocean.15",1455,"Sarita",634,2898,"SREP"
"target_lnSREP_ocean.16",17993,"Somass",9198,30564,"SREP"
"target_lnSREP_ocean.17",1330,"Tahsis",574,2673,"SREP"
"target_lnSREP_ocean.18",2958,"Tahsish",1379,5510,"SREP"
"target_lnSREP_ocean.19",213,"Tranquil",74,536,"SREP"
"target_lnSREP_ocean.20",3333,"Zeballos",1569,6146,"SREP"
