"","Stock","WA","LH","SGEN.SREP","SGEN LQ.SREP","SGEN UQ.SREP","SREP.SREP","SREP LQ.SREP","SREP UQ.SREP","SMSY.SREP","SMSY LQ.SREP","SMSY UQ.SREP","SGEN.SMAX","SGEN LQ.SMAX","SGEN UQ.SMAX","SREP.SMAX","SREP LQ.SMAX","SREP UQ.SMAX","SMSY.SMAX","SMSY LQ.SMAX","SMSY UQ.SMAX"
"1","South Thompson Agg",29565,1,34124,13688,69451,398020,137363,1153296,159668,81143,284035,90000,25000,310000,490000,240000,1000000,210000,100000,450000
"2","Lower Shuswap",2663,1,3245,1343,6596,38826,18669,80749,15401,7712,27340,8400,2100,27000,43000,24000,73000,19000,10000,34000
"3","Middle Shuswap",640,1,818,331,1727,9779,4735,20194,3895,1986,7263,2100,470,6100,10000,5700,18000,4500,2500,8000
"4","Wap",20,1,29,12,64,339,97,1187,137,68,257,56,11,200,300,130,720,130,52,300
"5","East",46,1,66,26,137,770,261,2277,311,153,560,130,33,440,710,330,1500,300,140,670
"6","Goodspeed",15,1,21,9,44,251,67,938,101,51,181,41,10,180,220,85,540,95,36,250
"7","Keith",56,1,78,31,165,925,324,2639,370,181,697,170,36,550,860,380,1800,370,170,800
"8","Klaskish",41,1,58,22,114,680,225,2061,272,133,485,110,27,400,620,290,1400,260,120,580
"9","Mahatta",114,1,158,63,330,1840,730,4637,749,364,1372,330,84,1100,1800,910,3400,760,380,1500
"10","Washlawlis",23,1,34,14,67,393,116,1332,160,75,289,65,16,240,350,150,800,150,63,340
"11","Colonial&Cayeagle",79,1,112,43,236,1287,480,3453,527,259,976,240,60,790,1200,610,2600,530,260,1100
"12","Marble",168,1,229,87,501,2676,1127,6358,1084,516,1975,500,130,1700,2700,1300,5100,1100,570,2200
"13","Adam",279,1,372,150,739,4383,1973,9738,1764,902,3233,820,210,2700,4400,2400,8100,1900,970,3600
"14","Amor de Cosmos",15,1,21,9,43,251,67,938,100,48,177,43,9,150,220,84,560,95,37,240
"15","Cluxewe",90,1,124,50,254,1460,557,3830,590,291,1137,260,70,870,1400,660,2900,600,280,1200
"16","Kokish",104,1,141,60,289,1684,658,4309,673,343,1197,300,74,940,1600,830,3000,700,350,1300
