"","Estimate","Stock","LL","UL","Param"
"target_lnSMSY_ocean.74",1041,"Phillips",569,1903,"SMSY"
"target_lnSMSY_ocean.75",1195,"Brem",660,2164,"SMSY"
"target_lnSMSY_ocean.76",956,"Indian",520,1757,"SMSY"
"target_lnSMSY_ocean.77",787,"Quatam",422,1468,"SMSY"
"target_lnSMSY_ocean.78",290,"Seymour - Georgia Strait",143,591,"SMSY"
"target_lnSMSY_ocean.79",287,"Theodosia",141,585,"SMSY"
"target_lnSMSY_ocean.80",2477,"Toba",1423,4309,"SMSY"
"target_lnSMSY_ocean.81",4643,"Squamish",2722,7919,"SMSY"
"target_lnSMSY_ocean.82",219,"Goldstream",105,458,"SMSY"
"target_lnSREP_ocean",492487,"South Thompson Agg",235914,1028101,"SREP"
"target_lnSREP_ocean.1",42961,"Lower Shuswap",24351,75794,"SREP"
"target_lnSREP_ocean.2",10127,"Middle Shuswap",5723,17918,"SREP"
"target_lnSREP_ocean.3",299,"Wap",126,710,"SREP"
"target_lnSREP_ocean.4",706,"East",327,1523,"SREP"
"target_lnSREP_ocean.5",218,"Goodspeed",88,539,"SREP"
"target_lnSREP_ocean.6",855,"Keith",404,1810,"SREP"
"target_lnSREP_ocean.7",620,"Klaskish",283,1356,"SREP"
"target_lnSREP_ocean.8",1758,"Mahatta",891,3471,"SREP"
"target_lnSREP_ocean.9",349,"Washlawlis",149,814,"SREP"
"target_lnSREP_ocean.10",1209,"Colonial&Cayeagle",592,2471,"SREP"
"target_lnSREP_ocean.11",2604,"Marble",1363,4976,"SREP"
"target_lnSREP_ocean.12",4368,"Adam",2371,8046,"SREP"
"target_lnSREP_ocean.13",218,"Amor de Cosmos",88,539,"SREP"
"target_lnSREP_ocean.14",1380,"Cluxewe",684,2786,"SREP"
"target_lnSREP_ocean.15",1602,"Kokish",805,3190,"SREP"
"target_lnSREP_ocean.16",1225,"Quatse",600,2501,"SREP"
"target_lnSREP_ocean.17",6295,"Nimpkish (above Lake)",3489,11359,"SREP"
"target_lnSREP_ocean.18",14498,"Salmon",8267,25426,"SREP"
"target_lnSREP_ocean.19",2652,"Quinsam-Campbell",1390,5060,"SREP"
"target_lnSREP_ocean.20",298,"Conuma",125,708,"SREP"
"target_lnSREP_ocean.21",1184,"Tahsis",578,2424,"SREP"
"target_lnSREP_ocean.22",1074,"Burman",520,2220,"SREP"
"target_lnSREP_ocean.23",975,"Artlish",467,2036,"SREP"
"target_lnSREP_ocean.24",1552,"Kaouk",777,3099,"SREP"
"target_lnSREP_ocean.25",2675,"Tahsish",1403,5100,"SREP"
"target_lnSREP_ocean.26",13607,"Gold",7750,23892,"SREP"
"target_lnSREP_ocean.27",1689,"Leiner",852,3346,"SREP"
"target_lnSREP_ocean.28",3020,"Zeballos",1598,5705,"SREP"
"target_lnSREP_ocean.29",205,"Amai",82,510,"SREP"
"target_lnSREP_ocean.30",147,"Canton",57,381,"SREP"
"target_lnSREP_ocean.31",70,"Espinosa",24,199,"SREP"
"target_lnSREP_ocean.32",203,"Hoiss",81,505,"SREP"
"target_lnSREP_ocean.33",674,"Kauwinch",311,1462,"SREP"
"target_lnSREP_ocean.34",211,"Kleeptee",85,522,"SREP"
"target_lnSREP_ocean.35",662,"Little Zeballos River",304,1438,"SREP"
"target_lnSREP_ocean.36",308,"Malksope",130,729,"SREP"
"target_lnSREP_ocean.37",21,"Mckay",6,70,"SREP"
"target_lnSREP_ocean.38",115,"Mooyah",43,307,"SREP"
