"","Value","lwr","upr","Stock","RP"
"106",4800,1300,17000,"Westroad, Baker, Naver, Narcosli, Cottonwood","SGEN"
"107",1900,480,6300,"Chilcotin (upper and lower)","SGEN"
"108",980,220,3200,"Driftwood","SGEN"
"109",1200,300,3600,"Nadina","SGEN"
"110",800,190,2700,"Upper Cariboo","SGEN"
"111",2100,500,7100,"Taseko (Spring Timing) Agg","SGEN"
"112",470,120,1600,"Nahatlatch","SGEN"
"113",510,140,1600,"Upper Pitt","SGEN"
"114",660,160,2100,"Big Silver","SGEN"
"115",2000,500,6300,"North Thompson Agg","SGEN"
"116",490000,240000,1000000,"South Thompson Agg","SREP"
"117",43000,24000,73000,"Lower Shuswap","SREP"
"118",10000,5700,18000,"Middle Shuswap","SREP"
"119",300,130,720,"Wap","SREP"
"120",710,330,1500,"East","SREP"
"121",220,85,540,"Goodspeed","SREP"
"122",860,380,1800,"Keith","SREP"
"123",620,290,1400,"Klaskish","SREP"
"124",1800,910,3400,"Mahatta","SREP"
"125",350,150,800,"Washlawlis","SREP"
"126",1200,610,2600,"Colonial&Cayeagle","SREP"
"127",2700,1300,5100,"Marble","SREP"
"128",4400,2400,8100,"Adam","SREP"
"129",220,84,560,"Amor de Cosmos","SREP"
"130",1400,660,2900,"Cluxewe","SREP"
"131",1600,830,3000,"Kokish","SREP"
"132",1200,590,2500,"Quatse","SREP"
"133",6200,3400,12000,"Nimpkish (above Lake)","SREP"
"134",15000,8200,25000,"Salmon","SREP"
"135",2600,1300,5300,"Quinsam-Campbell","SREP"
"136",310,140,750,"Conuma","SREP"
"137",1200,570,2400,"Tahsis","SREP"
"138",1100,530,2300,"Burman","SREP"
"139",990,450,2100,"Artlish","SREP"
"140",1600,800,3400,"Kaouk","SREP"
"141",2700,1400,5200,"Tahsish","SREP"
"142",14000,7800,24000,"Gold","SREP"
"143",1700,840,3300,"Leiner","SREP"
"144",3000,1600,5600,"Zeballos","SREP"
"145",210,84,540,"Amai","SREP"
"146",140,57,360,"Canton","SREP"
"147",69,24,210,"Espinosa","SREP"
"148",200,88,480,"Hoiss","SREP"
"149",680,320,1500,"Kauwinch","SREP"
"150",200,89,500,"Kleeptee","SREP"
"151",660,280,1500,"Little Zeballos River","SREP"
"152",310,140,750,"Malksope","SREP"
"153",20,5.6,77,"Mckay","SREP"
"154",120,43,330,"Mooyah","SREP"
"155",250,100,630,"Ououkinsh","SREP"
"156",770,360,1600,"Power","SREP"
"157",390,160,890,"Sucwoa","SREP"
"158",300,130,730,"Tlupana","SREP"
"159",400,180,900,"Tsowwin","SREP"
"160",5600,3000,10000,"Nitinat","SREP"
"161",5100,2700,9300,"San Juan","SREP"
"162",650,300,1400,"Nahmint","SREP"
"163",1300,630,2500,"Sarita","SREP"
"164",1500,770,3100,"Bedwell","SREP"
"165",3800,2100,7100,"Megin","SREP"
"166",1800,860,3600,"Moyeha","SREP"
"167",590,270,1300,"Cypre","SREP"
"168",180,74,440,"Tranquil","SREP"
"169",17000,9300,29000,"Somass (stamp&sproat)","SREP"
"170",8800,5200,15000,"Puntledge Falls","SREP"
"171",4600,2500,9000,"Englishman","SREP"
"172",2100,1100,4100,"Big Qualicum","SREP"
"173",1500,700,2800,"Little Qualicum","SREP"
"174",6900,3800,13000,"Puntledge Summers","SREP"
"175",8600,4800,15000,"Nanaimo Falls","SREP"
"176",23000,14000,39000,"Klinaklini","SREP"
"177",470,220,990,"Maria Slough","SREP"
"178",4500,2500,8300,"Homathko","SREP"
"179",9700,5500,17000,"Okanagan","SREP"
"180",1600,800,3200,"Ahnuhati","SREP"
"181",1600,830,3100,"Apple","SREP"
"182",380,160,900,"Sim","SREP"
"183",1900,880,3600,"Franklin","SREP"
"184",2800,1500,5200,"Southgate","SREP"
"185",780,370,1700,"Kakweiken","SREP"
"186",4800,2700,8900,"Wakeman","SREP"
"187",4400,2300,8400,"Kingcome","SREP"
"188",580,260,1300,"Orford","SREP"
"189",320,130,750,"Stafford","SREP"
"190",3100,1600,5600,"Phillips","SREP"
"191",3400,1900,6200,"Brem","SREP"
"192",2700,1500,5100,"Indian","SREP"
"193",2300,1100,4300,"Quatam","SREP"
"194",840,380,1900,"Seymour - Georgia Strait","SREP"
"195",840,410,1700,"Theodosia","SREP"
"196",7200,4100,13000,"Toba","SREP"
"197",13000,7500,23000,"Squamish","SREP"
"198",640,300,1300,"Goldstream","SREP"
"199",5300,2800,9400,"Deadman","SREP"
"200",21000,11000,39000,"Nicola","SREP"
"201",4600,2400,8800,"Spius","SREP"
"202",2600,1400,4800,"Coldwater","SREP"
"203",3700,2100,6900,"Louis","SREP"
"204",13000,7300,25000,"Bonaparte","SREP"
"205",2400,1300,4400,"Bessette","SREP"
"206",3800,2000,6900,"Portage","SREP"
"207",10000,6000,19000,"Chilko","SREP"
"208",16000,8800,31000,"Quesnel System (Cariboo)","SREP"
"209",40000,22000,78000,"Nechako System (Stuart, Stellako)","SREP"
"210",11000,5900,21000,"Taseko","SREP"
"211",3200,1700,5800,"Bridge","SREP"
"212",21000,11000,38000,"North Thompson and Tribs","SREP"
"213",64000,34000,120000,"Upper Fraser Spring Agg","SREP"
"214",3800,2100,7100,"Birkenhead","SREP"
"215",4600,2300,8300,"Eagle","SREP"
"216",4800,2600,8600,"Salmon @ Salmon Arm","SREP"
"217",1200,610,2400,"Seymour - South Thompson","SREP"
"218",4900,2700,9200,"Endako","SREP"
"219",9900,5600,18000,"Chilako","SREP"
"220",3900,2200,7100,"Horsefly","SREP"
"221",27000,15000,49000,"Westroad, Baker, Naver, Narcosli, Cottonwood","SREP"
"222",10000,5600,19000,"Chilcotin (upper and lower)","SREP"
"223",5200,2800,9600,"Driftwood","SREP"
"224",6200,3400,11000,"Nadina","SREP"
"225",4300,2400,8000,"Upper Cariboo","SREP"
"226",11000,5900,21000,"Taseko (Spring Timing) Agg","SREP"
"227",2500,1300,4700,"Nahatlatch","SREP"
"228",2800,1500,5200,"Upper Pitt","SREP"
"229",3600,2000,6600,"Big Silver","SREP"
"230",11000,5800,19000,"North Thompson Agg","SREP"
"231",210000,100000,450000,"South Thompson Agg","SMSY"
"232",19000,10000,34000,"Lower Shuswap","SMSY"
"233",4500,2500,8000,"Middle Shuswap","SMSY"
"234",130,52,300,"Wap","SMSY"
"235",300,140,670,"East","SMSY"
"236",95,36,250,"Goodspeed","SMSY"
"237",370,170,800,"Keith","SMSY"
"238",260,120,580,"Klaskish","SMSY"
"239",760,380,1500,"Mahatta","SMSY"
"240",150,63,340,"Washlawlis","SMSY"
"241",530,260,1100,"Colonial&Cayeagle","SMSY"
"242",1100,570,2200,"Marble","SMSY"
"243",1900,970,3600,"Adam","SMSY"
"244",95,37,240,"Amor de Cosmos","SMSY"
"245",600,280,1200,"Cluxewe","SMSY"
"246",700,350,1300,"Kokish","SMSY"
"247",530,250,1100,"Quatse","SMSY"
"248",2700,1400,5200,"Nimpkish (above Lake)","SMSY"
"249",6200,3400,11000,"Salmon","SMSY"
"250",1100,550,2300,"Quinsam-Campbell","SMSY"
"251",130,58,320,"Conuma","SMSY"
"252",500,240,1100,"Tahsis","SMSY"
"253",470,220,1000,"Burman","SMSY"
"254",430,190,930,"Artlish","SMSY"
"255",680,340,1500,"Kaouk","SMSY"
"256",1200,570,2300,"Tahsish","SMSY"
"257",5900,3300,10000,"Gold","SMSY"
"258",720,360,1500,"Leiner","SMSY"
"259",1300,680,2400,"Zeballos","SMSY"
"260",91,35,240,"Amai","SMSY"
"261",61,23,160,"Canton","SMSY"
"262",30,10,89,"Espinosa","SMSY"
"263",86,36,210,"Hoiss","SMSY"
"264",290,140,660,"Kauwinch","SMSY"
"265",89,38,220,"Kleeptee","SMSY"
"266",290,120,650,"Little Zeballos River","SMSY"
"267",140,56,330,"Malksope","SMSY"
"268",9,2.4,34,"Mckay","SMSY"
"269",50,18,150,"Mooyah","SMSY"
"270",110,44,280,"Ououkinsh","SMSY"
"271",330,150,680,"Power","SMSY"
"272",170,68,390,"Sucwoa","SMSY"
"273",130,52,320,"Tlupana","SMSY"
"274",170,77,390,"Tsowwin","SMSY"
"275",2400,1300,4400,"Nitinat","SMSY"
"276",2200,1200,4100,"San Juan","SMSY"
"277",280,130,590,"Nahmint","SMSY"
"278",550,270,1100,"Sarita","SMSY"
"279",670,340,1300,"Bedwell","SMSY"
"280",1600,870,3100,"Megin","SMSY"
"281",780,380,1600,"Moyeha","SMSY"
"282",250,120,560,"Cypre","SMSY"
"283",77,30,190,"Tranquil","SMSY"
"284",7200,4000,13000,"Somass (stamp&sproat)","SMSY"
"285",3800,2200,6800,"Puntledge Falls","SMSY"
"286",2000,1100,3800,"Englishman","SMSY"
"287",920,460,1800,"Big Qualicum","SMSY"
"288",630,290,1300,"Little Qualicum","SMSY"
"289",2900,1500,5700,"Puntledge Summers","SMSY"
"290",3700,2100,6700,"Nanaimo Falls","SMSY"
"291",10000,5800,18000,"Klinaklini","SMSY"
"292",200,91,450,"Maria Slough","SMSY"
"293",1900,1000,3700,"Homathko","SMSY"
"294",4200,2300,7400,"Okanagan","SMSY"
"295",690,320,1400,"Ahnuhati","SMSY"
"296",700,340,1400,"Apple","SMSY"
"297",160,69,390,"Sim","SMSY"
"298",800,390,1600,"Franklin","SMSY"
"299",1200,620,2300,"Southgate","SMSY"
"300",330,160,740,"Kakweiken","SMSY"
"301",2100,1100,3800,"Wakeman","SMSY"
"302",1900,990,3700,"Kingcome","SMSY"
"303",250,110,550,"Orford","SMSY"
"304",140,57,330,"Stafford","SMSY"
"305",1300,670,2500,"Phillips","SMSY"
"306",1500,750,2800,"Brem","SMSY"
"307",1200,630,2200,"Indian","SMSY"
"308",990,480,1900,"Quatam","SMSY"
"309",360,160,810,"Seymour - Georgia Strait","SMSY"
"310",360,180,760,"Theodosia","SMSY"
"311",3100,1800,5800,"Toba","SMSY"
"312",5700,3100,10000,"Squamish","SMSY"
"313",270,130,610,"Goldstream","SMSY"
"314",2300,1200,4100,"Deadman","SMSY"
"315",9100,4900,17000,"Nicola","SMSY"
"316",2000,1000,3800,"Spius","SMSY"
"317",1100,610,2100,"Coldwater","SMSY"
"318",1600,850,3000,"Louis","SMSY"
"319",5700,3100,11000,"Bonaparte","SMSY"
"320",1000,530,1900,"Bessette","SMSY"
"321",1700,830,3100,"Portage","SMSY"
"322",4600,2400,8600,"Chilko","SMSY"
"323",7000,3900,14000,"Quesnel System (Cariboo)","SMSY"
"324",17000,9300,34000,"Nechako System (Stuart, Stellako)","SMSY"
"325",4600,2400,9100,"Taseko","SMSY"
"326",1400,710,2500,"Bridge","SMSY"
"327",9200,4700,17000,"North Thompson and Tribs","SMSY"
"328",28000,15000,54000,"Upper Fraser Spring Agg","SMSY"
"329",1700,890,3200,"Birkenhead","SMSY"
"330",1900,1000,3700,"Eagle","SMSY"
"331",2100,1100,3700,"Salmon @ Salmon Arm","SMSY"
"332",510,260,1100,"Seymour - South Thompson","SMSY"
"333",2200,1100,4000,"Endako","SMSY"
"334",4300,2300,7800,"Chilako","SMSY"
"335",1700,930,3100,"Horsefly","SMSY"
"336",12000,6300,22000,"Westroad, Baker, Naver, Narcosli, Cottonwood","SMSY"
"337",4400,2400,8500,"Chilcotin (upper and lower)","SMSY"
"338",2200,1200,4300,"Driftwood","SMSY"
"339",2700,1400,4800,"Nadina","SMSY"
"340",1800,990,3500,"Upper Cariboo","SMSY"
"341",4800,2500,9100,"Taseko (Spring Timing) Agg","SMSY"
"342",1100,560,2100,"Nahatlatch","SMSY"
"343",1200,630,2300,"Upper Pitt","SMSY"
"344",1500,860,2900,"Big Silver","SMSY"
"345",4500,2500,8200,"North Thompson Agg","SMSY"
