"","Value","lwr","upr","Stock","RP"
"1",90000,25000,310000,"South Thompson Agg","SGEN"
"2",8400,2100,27000,"Lower Shuswap","SGEN"
"3",2100,470,6100,"Middle Shuswap","SGEN"
"4",56,11,200,"Wap","SGEN"
"5",130,33,440,"East","SGEN"
"6",41,9.5,180,"Goodspeed","SGEN"
"7",170,36,550,"Keith","SGEN"
"8",110,27,400,"Klaskish","SGEN"
"9",330,84,1100,"Mahatta","SGEN"
"10",65,16,240,"Washlawlis","SGEN"
"11",240,60,790,"Colonial&Cayeagle","SGEN"
"12",500,130,1700,"Marble","SGEN"
"13",820,210,2700,"Adam","SGEN"
"14",43,8.9,150,"Amor de Cosmos","SGEN"
"15",260,70,870,"Cluxewe","SGEN"
"16",300,74,940,"Kokish","SGEN"
"17",240,54,780,"Quatse","SGEN"
"18",1200,280,3800,"Nimpkish (above Lake)","SGEN"
"19",2600,640,8300,"Salmon","SGEN"
"20",480,130,1500,"Quinsam-Campbell","SGEN"
"21",61,13,210,"Conuma","SGEN"
"22",220,52,730,"Tahsis","SGEN"
"23",220,48,710,"Burman","SGEN"
"24",180,45,660,"Artlish","SGEN"
"25",310,78,1100,"Kaouk","SGEN"
"26",530,130,1500,"Tahsish","SGEN"
"27",2700,650,7900,"Gold","SGEN"
"28",320,86,960,"Leiner","SGEN"
"29",570,130,1900,"Zeballos","SGEN"
"30",41,8.7,160,"Amai","SGEN"
"31",26,5.5,110,"Canton","SGEN"
"32",13,2.5,55,"Espinosa","SGEN"
"33",38,9.1,150,"Hoiss","SGEN"
"34",130,29,470,"Kauwinch","SGEN"
"35",40,8.9,150,"Kleeptee","SGEN"
"36",130,26,440,"Little Zeballos River","SGEN"
"37",60,13,230,"Malksope","SGEN"
"38",4.1,0.6,20,"Mckay","SGEN"
"39",22,4.4,92,"Mooyah","SGEN"
"40",48,10,190,"Ououkinsh","SGEN"
"41",140,35,470,"Power","SGEN"
"42",76,15,270,"Sucwoa","SGEN"
"43",58,13,220,"Tlupana","SGEN"
"44",78,19,270,"Tsowwin","SGEN"
"45",1100,260,3200,"Nitinat","SGEN"
"46",1000,250,3200,"San Juan","SGEN"
"47",120,29,420,"Nahmint","SGEN"
"48",240,62,760,"Sarita","SGEN"
"49",310,77,1000,"Bedwell","SGEN"
"50",730,190,2200,"Megin","SGEN"
"51",340,83,1200,"Moyeha","SGEN"
"52",110,24,390,"Cypre","SGEN"
"53",35,7,130,"Tranquil","SGEN"
"54",3100,850,9200,"Somass (stamp&sproat)","SGEN"
"55",1700,430,5200,"Puntledge Falls","SGEN"
"56",880,220,2700,"Englishman","SGEN"
"57",410,100,1200,"Big Qualicum","SGEN"
"58",280,69,930,"Little Qualicum","SGEN"
"59",1300,320,4400,"Puntledge Summers","SGEN"
"60",1700,410,4900,"Nanaimo Falls","SGEN"
"61",4600,1100,14000,"Klinaklini","SGEN"
"62",90,18,300,"Maria Slough","SGEN"
"63",880,240,2700,"Homathko","SGEN"
"64",1800,490,5500,"Okanagan","SGEN"
"65",300,68,940,"Ahnuhati","SGEN"
"66",310,70,1000,"Apple","SGEN"
"67",71,16,260,"Sim","SGEN"
"68",360,89,1100,"Franklin","SGEN"
"69",550,130,1800,"Southgate","SGEN"
"70",150,37,520,"Kakweiken","SGEN"
"71",900,220,2900,"Wakeman","SGEN"
"72",840,220,2500,"Kingcome","SGEN"
"73",110,26,360,"Orford","SGEN"
"74",63,13,240,"Stafford","SGEN"
"75",570,140,1800,"Phillips","SGEN"
"76",660,150,2000,"Brem","SGEN"
"77",500,130,1700,"Indian","SGEN"
"78",440,110,1500,"Quatam","SGEN"
"79",160,39,560,"Seymour - Georgia Strait","SGEN"
"80",150,37,540,"Theodosia","SGEN"
"81",1400,370,4100,"Toba","SGEN"
"82",2500,620,7700,"Squamish","SGEN"
"83",120,29,450,"Goldstream","SGEN"
"84",960,250,3100,"Deadman","SGEN"
"85",4100,1000,13000,"Nicola","SGEN"
"86",870,230,2900,"Spius","SGEN"
"87",490,120,1600,"Coldwater","SGEN"
"88",700,170,2200,"Louis","SGEN"
"89",2500,650,8300,"Bonaparte","SGEN"
"90",460,110,1400,"Bessette","SGEN"
"91",760,180,2200,"Portage","SGEN"
"92",2000,470,6000,"Chilko","SGEN"
"93",3000,800,9900,"Quesnel System (Cariboo)","SGEN"
"94",7600,2000,24000,"Nechako System (Stuart, Stellako)","SGEN"
"95",2100,550,6000,"Taseko","SGEN"
"96",610,160,2000,"Bridge","SGEN"
"97",4200,1000,13000,"North Thompson and Tribs","SGEN"
"98",12000,2800,41000,"Upper Fraser Spring Agg","SGEN"
"99",760,210,2200,"Birkenhead","SGEN"
"100",860,210,2700,"Eagle","SGEN"
"101",930,240,2800,"Salmon @ Salmon Arm","SGEN"
"102",230,53,710,"Seymour - South Thompson","SGEN"
"103",960,230,3000,"Endako","SGEN"
"104",1900,500,5800,"Chilako","SGEN"
"105",750,200,2300,"Horsefly","SGEN"
