"","Estimate","Stock","LL","UL","Param"
"target_lnSMSY_ocean",357,"Artlish",165,774,"SMSY"
"target_lnSMSY_ocean.1",558,"Bedwell/Ursus",270,1155,"SMSY"
"target_lnSMSY_ocean.2",393,"Burman",183,842,"SMSY"
"target_lnSMSY_ocean.3",278,"Cayeghle",125,619,"SMSY"
"target_lnSMSY_ocean.4",111,"Conuma",45,276,"SMSY"
"target_lnSMSY_ocean.5",220,"Cypre",96,502,"SMSY"
"target_lnSMSY_ocean.6",4795,"Gold",2656,8658,"SMSY"
"target_lnSMSY_ocean.7",565,"Kaouk",273,1167,"SMSY"
"target_lnSMSY_ocean.8",614,"Leiner",300,1258,"SMSY"
"target_lnSMSY_ocean.9",941,"Marble",477,1856,"SMSY"
"target_lnSMSY_ocean.10",1377,"Megin",719,2637,"SMSY"
"target_lnSMSY_ocean.11",650,"Moyeha",319,1325,"SMSY"
"target_lnSMSY_ocean.12",235,"Nahmint",104,533,"SMSY"
"target_lnSMSY_ocean.13",2000,"Nitinat",1069,3740,"SMSY"
"target_lnSMSY_ocean.14",1851,"San Juan",985,3477,"SMSY"
"target_lnSMSY_ocean.15",473,"Sarita",225,995,"SMSY"
"target_lnSMSY_ocean.16",5916,"Somass",3288,10644,"SMSY"
"target_lnSMSY_ocean.17",432,"Tahsis",204,918,"SMSY"
"target_lnSMSY_ocean.18",966,"Tahsish",490,1901,"SMSY"
"target_lnSMSY_ocean.19",69,"Tranquil",26,182,"SMSY"
"target_lnSMSY_ocean.20",1088,"Zeballos",558,2122,"SMSY"
"target_lnSREP_ocean",1025,"Artlish",465,2256,"SREP"
"target_lnSREP_ocean.1",1598,"Bedwell/Ursus",760,3359,"SREP"
"target_lnSREP_ocean.2",1126,"Burman",517,2455,"SREP"
"target_lnSREP_ocean.3",798,"Cayeghle",352,1807,"SREP"
"target_lnSREP_ocean.4",320,"Conuma",126,810,"SREP"
"target_lnSREP_ocean.5",631,"Cypre",271,1469,"SREP"
"target_lnSREP_ocean.6",13603,"Gold",7436,24884,"SREP"
"target_lnSREP_ocean.7",1616,"Kaouk",770,3393,"SREP"
"target_lnSREP_ocean.8",1756,"Leiner",843,3657,"SREP"
"target_lnSREP_ocean.9",2686,"Marble",1341,5380,"SREP"
"target_lnSREP_ocean.10",3925,"Megin",2020,7629,"SREP"
"target_lnSREP_ocean.11",1859,"Moyeha",897,3850,"SREP"
"target_lnSREP_ocean.12",675,"Nahmint",292,1558,"SREP"
"target_lnSREP_ocean.13",5693,"Nitinat",3002,10796,"SREP"
"target_lnSREP_ocean.14",5271,"San Juan",2767,10041,"SREP"
"target_lnSREP_ocean.15",1356,"Sarita",634,2898,"SREP"
"target_lnSREP_ocean.16",16767,"Somass",9198,30564,"SREP"
"target_lnSREP_ocean.17",1239,"Tahsis",574,2673,"SREP"
"target_lnSREP_ocean.18",2757,"Tahsish",1379,5510,"SREP"
"target_lnSREP_ocean.19",199,"Tranquil",74,536,"SREP"
"target_lnSREP_ocean.20",3106,"Zeballos",1569,6146,"SREP"
