"","Estimate","Stock","LL","UL","Param"
"target_lnSMSY_ocean",335,"Artlish",167,672,"SMSY"
"target_lnSMSY_ocean.1",528,"Bedwell/Ursus",274,1018,"SMSY"
"target_lnSMSY_ocean.2",369,"Burman",185,734,"SMSY"
"target_lnSMSY_ocean.3",259,"Cayeghle",126,533,"SMSY"
"target_lnSMSY_ocean.4",101,"Conuma",44,230,"SMSY"
"target_lnSMSY_ocean.5",203,"Cypre",96,429,"SMSY"
"target_lnSMSY_ocean.6",4784,"Gold",2806,8154,"SMSY"
"target_lnSMSY_ocean.7",535,"Kaouk",278,1029,"SMSY"
"target_lnSMSY_ocean.8",582,"Leiner",305,1113,"SMSY"
"target_lnSMSY_ocean.9",902,"Marble",488,1665,"SMSY"
"target_lnSMSY_ocean.10",1332,"Megin",741,2395,"SMSY"
"target_lnSMSY_ocean.11",617,"Moyeha",325,1174,"SMSY"
"target_lnSMSY_ocean.12",218,"Nahmint",104,456,"SMSY"
"target_lnSMSY_ocean.13",1953,"Nitinat",1110,3436,"SMSY"
"target_lnSMSY_ocean.14",1804,"San Juan",1021,3187,"SMSY"
"target_lnSMSY_ocean.15",446,"Sarita",228,873,"SMSY"
"target_lnSMSY_ocean.16",5932,"Somass",3491,10080,"SMSY"
"target_lnSMSY_ocean.17",407,"Tahsis",206,802,"SMSY"
"target_lnSMSY_ocean.18",926,"Tahsish",503,1707,"SMSY"
"target_lnSMSY_ocean.19",62,"Tranquil",26,149,"SMSY"
"target_lnSMSY_ocean.20",1047,"Zeballos",573,1913,"SMSY"
"target_lnSMSY_ocean.21",179024,"All (lower Thompson, South Thompson, Little, Lower Adams)",89142,359531,"SMSY"
"target_lnSMSY_ocean.22",15266,"Lower Shuswap",8915,26140,"SMSY"
"target_lnSMSY_ocean.23",3550,"Middle Shuswap",2068,6096,"SMSY"
"target_lnSMSY_ocean.24",101,"Wap",45,230,"SMSY"
"target_lnSMSY_ocean.25",241,"East",116,500,"SMSY"
"target_lnSMSY_ocean.26",74,"Goodspeed",31,174,"SMSY"
"target_lnSMSY_ocean.27",293,"Keith",144,596,"SMSY"
"target_lnSMSY_ocean.28",212,"Klaskish",101,445,"SMSY"
"target_lnSMSY_ocean.29",606,"Mahatta",318,1155,"SMSY"
"target_lnSMSY_ocean.30",118,"Washlawlis",53,264,"SMSY"
"target_lnSMSY_ocean.31",416,"Colonial&Cayeagle",211,818,"SMSY"
"target_lnSMSY_ocean.32",1519,"Adam",852,2710,"SMSY"
"target_lnSMSY_ocean.33",74,"Amor de Cosmos",31,174,"SMSY"
"target_lnSMSY_ocean.34",475,"Cluxewe",244,924,"SMSY"
"target_lnSMSY_ocean.35",552,"Kokish",288,1060,"SMSY"
"target_lnSMSY_ocean.36",421,"Quatse",214,828,"SMSY"
"target_lnSMSY_ocean.37",2197,"Nimpkish (above Lake)--Note, need to check with Pieter as perhaps only Woss is surveyed",1256,3844,"SMSY"
"target_lnSMSY_ocean.38",5100,"Salmon",2995,8683,"SMSY"
"target_lnSMSY_ocean.39",918,"Quinsam-Campbell",498,1693,"SMSY"
"target_lnSMSY_ocean.40",69,"Amai",29,164,"SMSY"
"target_lnSMSY_ocean.41",182,"Canton",86,389,"SMSY"
"target_lnSMSY_ocean.42",131,"Espinosa",59,289,"SMSY"
"target_lnSMSY_ocean.43",69,"Hoiss",29,163,"SMSY"
"target_lnSMSY_ocean.44",395,"Kauwinch",200,781,"SMSY"
"target_lnSMSY_ocean.45",257,"Kleeptee",125,529,"SMSY"
"target_lnSMSY_ocean.46",209,"Little Zeballos River",99,439,"SMSY"
