"Stock","WA","LH","SGEN","SGEN LQ","SGEN UQ","SREP","SREP LQ","SREP UQ","SMSY","SMSY LQ","SMSY UQ"
"Nechako System (Stuart, Stellako)",15674,0,7800,1900,25000,41000,22000,76000,18000,9000,34000
"Taseko",2219,0,2100,540,6600,11000,6000,20000,4800,2500,9000
"Bridge",351,0,630,160,2000,3300,1700,6100,1400,730,2700
"North Thompson and Tribs",5910,0,4100,990,13000,21000,11000,39000,9200,4800,17000
"Upper Fraser Spring Agg",33079,0,13000,3100,41000,67000,35000,130000,29000,15000,56000
"Birkenhead",462,0,750,190,2400,3900,2100,7300,1700,910,3200
"Eagle",594,0,880,220,2800,4600,2500,8500,2000,1000,3800
"Salmon @ Salmon Arm",638,0,940,230,2900,4900,2600,9100,2100,1100,4000
"Seymour - South Thompson",79,0,230,56,730,1200,620,2300,520,260,1000
"Endako",690,0,990,240,3100,5100,2800,9500,2200,1200,4200
"Chilako",1908,0,1900,490,6000,10000,5500,18000,4400,2300,8100
"Horsefly",487,0,780,190,2400,4100,2200,7400,1800,920,3300
"Westroad, Baker, Naver, Narcosli, Cottonwood",8681,0,5300,1300,17000,27000,15000,51000,12000,6200,22000
"Chilcotin (upper and lower)",1993,0,2000,490,6200,10000,5600,19000,4500,2400,8400
"Driftwood",708,0,1000,250,3100,5200,2900,9600,2300,1200,4200
"Nadina",919,0,1200,300,3800,6200,3400,11000,2700,1400,5000
"Upper Cariboo",554,0,840,210,2700,4400,2400,8200,1900,1000,3600
"Taseko (Spring Timing) Agg",2218,0,2100,540,6600,11000,6100,20000,4800,2600,8900
"Nahatlatch",246,0,490,120,1600,2600,1400,4800,1100,580,2100
"Upper Pitt",287,0,550,130,1700,2900,1500,5400,1200,640,2400
"Big Silver",421,0,710,180,2200,3700,2000,6900,1600,840,3000
"North Thompson Agg",2086,0,2000,510,6300,11000,5900,20000,4600,2500,8500
