CU,Stock,WA,lh,Enh
CU South Coast-southern fjords,Stafford,21.06489104,1,
CU South Coast-southern fjords,Phillips,192.7718712,1,
CU South Coast-Georgia Strait,Brem,220.5816314,1,
CU South Coast-Georgia Strait,Indian,177.3282531,1,
CU South Coast-Georgia Strait,Quatam,146.6783215,1,
CU South Coast-Georgia Strait,Seymour - South Coast-Georgia Strait,55.30104059,1,
CU South Coast-Georgia Strait,Theodosia,54.68208327,1,
CU South Coast-Georgia Strait,Toba,449.9014256,1,
CU South Coast-Georgia Strait,Squamish,831.7055632,1,
CU East Vancouver Island-Goldstream_FA_0.x,Goldstream,41.9632168,1,
CU Lower Fraser River - Summer Timing,Big Silver,420.6987341,0,
CU North Thompson River - Spring Timing - Age 1.3,includes mainstem and trib u/s of Avola,2086.058926,0,
