Stock,WA,lh,Enh
Artlish,63.55,1,0
Bedwell/Ursus,99.36,1,0
Burman,69.89,1,1
Cayeghle,49.42,1,0
Conuma,19.71,1,1
Cypre,39.03,1,0
Gold,856.34,1,1
Kaouk,100.51,1,0
Leiner,109.25,1,1
Marble,167.51,1,0
Megin,245.34,1,0
Moyeha,115.68,1,0
Nahmint,41.74,1,0
Nitinat,356.62,1,1
San Juan,330,1,1
Sarita,84.22,1,1
Somass,1056.84,1,1
Tahsis,76.93,1,0
Tahsish,171.97,1,0
Tranquil,12.22,1,1
Zeballos,193.85,1,1
